Sex,Age,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
0,35,14.11,63.09,32.65,11499.6,40.71,38.31,39.91,24779.6,42.33,35.68,44.95,25885.9
1,41,13.71,46.75,27.6,5954.94,36.46,23.58,31.04,12797.7,37.89,24.59,32.25,13978.7
1,25,11.73,36.31,16.48,2989.98,35.47,25.42,27.37,10040.5,35.75,25.14,27.65,11105.7
0,40,13.3,59.02,29.63,6673.96,35.68,31.16,33.05,10229.8,34.87,15.92,30.23,8229.18
0,43,11.89,46.36,24.59,7028.8,38.7,28.44,38.09,19465.7,33.95,30.84,38.9,18464.5
1,32,13.5,51.2,33.26,6492.19,34.67,24.79,34.89,10823.4,31.64,23.8,37.29,11928
0,36,14.57,61.45,29.72,9267,31.44,35.72,24.46,11044.8,34.29,20.59,35.15,10264.4
0,21,18.57,63.16,32.89,11034.7,39.73,29.72,46.06,20351,41.73,28.01,45.17,11830.7
1,23,12.29,58.53,26.58,5366.29,37.15,24.01,31.44,11183.2,40.29,22.58,40.02,12639.6
1,25,19.78,42.05,17.73,5596.04,35,24.77,35.68,12723.9,35.92,25.91,34.32,13312.2
0,36,15.43,57.74,29.44,10915,39.44,28.58,38.87,16422,39.73,26.58,39.45,14862.4
1,26,11.15,48.87,20,4373,36.6,27.2,36.6,19097,42.59,26.01,38.3,16557.7
0,26,15.2,67.16,32.01,13447,37.72,28.29,35.15,15322,37.37,25.1,35.68,14921.19
0,25,18.86,49.48,34.87,10540,42.58,28.01,41.15,21542.7,41.15,26.03,45.45,27383.8
0,21,14.8,52.67,27.73,7991.66,43.68,32.35,47.01,21335,41.35,26.67,41.69,22849
1,22,17.43,64.58,31.44,9141,33.72,25.44,31.15,11147,43.58,21.73,32.86,9463
1,23,13.43,55.16,25.43,4674,34.01,32.01,35.44,13563,34.58,32.87,33.18,13520.8
0,24,10.29,38.58,27.15,4039,31.16,22.29,24.87,6995.4,27.16,17.15,24.58,5646
1,22,13.67,50.4,20.67,6774,39.01,28.01,37.34,15999,39.69,28.34,40.02,16625.1
1,25,19.35,58.69,22.67,4821,35.05,24.01,32.34,10730,34.34,22.34,38.01,13478
1,28,14.8,52.67,27.73,7991.66,40.35,25.67,31.01,14483,40.01,23.01,29.67,13440.3
1,26,14.29,57.46,41.5,8382.81,34.3,25.15,35.72,14532.4,34.87,25.43,42.3,16813.5
1,34,16.29,59.45,34.59,8877.22,30.59,18.57,24.01,5511.24,35.44,20.01,30.59,9207.13
1,21,12.67,50.68,29.02,7046.45,34.01,24.67,34.35,13669.3,34.69,24,36.35,14394.3
1,29,12.57,53.87,38.01,6925.2,33.75,24.58,35.15,12880.8,35.73,24.56,35.72,11199.1
0,23,24.69,77.44,31.15,18164.2,42.33,22.58,40.87,22680.7,39.73,20,42.59,17874.5
0,24,22.05,68.47,43.75,14537.2,39.07,31.39,46.41,22722.6,39.73,30.06,46.75,25502.1
1,21,13.04,58.32,29.66,5683.78,36.49,27.38,42.04,13178.8,35.84,24.11,38.78,14257.4
0,27,11.73,44.41,34.91,4638.43,39.66,24.32,42.17,13610.1,39.1,25.98,43.57,14738.8
1,25,16.49,52.23,25.71,4320.47,34.07,19.55,37.14,10266.2,35.47,20.67,33.8,9435.24
1,34,15.92,60.74,34.47,13902.8,35.68,19.35,29.03,6992.45,37.89,25.8,26.2,10554.4
1,31,13.87,46.76,18.35,4605.95,35.67,23.78,35.67,14026.9,37.49,21.57,35.07,13271.4
0,39,13.71,65.8,25.4,8565.92,35.47,29.03,38.3,15219.23,38.5,29.23,36.08,14739.8
1,31,15.55,31.04,12.9,3704.64,30.84,17.94,22.37,4500.86,30.44,17.54,20.16,4187.9
1,34,15.92,58.25,24.99,4960.9,33.46,24.59,32.65,11402.6,35.67,26,33.06,13001.4
0,32,17.65,60.44,36.09,14837.8,46.75,31.37,37.93,23074.9,46.75,26.25,38.14,21239.7
0,39,10.08,15.92,15.72,2561.22,41.12,26.81,40.71,16756.7,39.71,27.01,42.33,17239.4
0,43,15.64,19.87,12.69,5058.84,36.28,26.61,35.47,15710.2,33.66,26.2,36.48,14943.4
1,45,16.94,54.42,33.66,7569.54,36.42,23.99,33.07,13678,34.07,27.61,33.86,14501.6
0,40,11.09,37.49,26,3434.88,40.11,29.83,39.1,18548.4,37.69,23.38,38.7,15247.9
0,43,12.5,58.85,24.79,7317.57,27.21,16.33,31.45,6115.14,27.41,17.74,34.47,6759.81
0,30,18.95,63.09,28.82,13566.9,41.51,27.41,44.14,23852.4,40.31,30.23,44.54,25496.4
0,33,14.51,48.78,22.78,6260.16,38.1,21.57,37.09,16569.41,38.5,24.59,38.9,15468
0,51,24.19,74.17,29.63,12636.5,33.46,21.16,30.84,14826.56,35.27,27.61,32.45,14041.34
1,47,13.01,44.01,20.21,5072.45,31.4,24.6,26.2,6490.3,33.61,25.6,24,4456.06
1,31,10.28,52.01,33.66,5296.9,39.3,27.21,36.28,16438.8,40.31,24.99,36.48,17020.6
1,41,13.3,64.29,31.24,7842.94,38.09,22.37,32.85,13648.6,38.09,24.19,32.05,14182.1
1,31,14.55,46.76,30.84,3944.9,35.07,18.95,30.23,12595.71,37.09,19.75,29.03,11321.3
1,42,11.9,36.08,22.17,3614.98,34.67,19.35,31.61,10710.8,36.29,18.54,33.66,12024.5
1,30,14.8,52.67,27.73,7991.66,31.64,16.93,26.61,7358.08,32.45,18.75,29.83,9908.93
1,39,11.22,40.22,24.23,4587.2,36.09,23.18,28.62,7262.02,38.1,26.4,32.45,12281.6
1,44,12.3,56,23.58,6061.44,34.87,24.59,33.46,13634.8,33.86,25.41,30.84,13265.9
1,40,10.68,60.26,26.02,6931.33,38.54,24.19,33.26,14760,37.09,22.79,34.26,14054.1
1,50,14.71,70.54,27.21,8799.87,40.51,38.42,33.46,13771.8,38.9,24.6,32.45,14447.5
1,39,10.41,38.86,16.43,3184.64,35.88,25,40.31,16760.6,34.07,25.19,37.89,17362.7
1,37,10.27,35.67,17.94,3224.9,37.24,23.76,29.23,11415.9,34.67,20.36,32.05,11498.37
0,42,21.17,81.02,29.02,24342.7,40.92,24.79,33.05,13607.7,40.92,21.57,32.05,13235.3
0,31,16.94,70.15,29.23,12088.3,38.3,27.82,34.67,17520,20.16,25.83,34.67,16618.3
1,36,14.31,60.06,25.8,6159.68,35.8,26.2,35.88,14850.88,36.23,25.7,34.52,14461.44
1,34,14.31,31.06,16.53,2377.09,23.18,15.72,17.33,2695.81,24.39,18.34,24.59,4366.72
1,30,16.74,50.8,26.61,11879.2,38.31,28.22,36.26,12333.8,39.11,24.59,33.29,11823.2
0,44,13.51,67.52,34.07,11284.1,32.65,17.13,23.78,6238.4,33.66,20.76,28.62,8367.1
0,35,16.53,45.75,19.15,4329.09,41.12,27.01,43.32,13501.6,38.11,25,38.1,12365.5
0,38,17.34,72.56,33.86,15876.6,41.53,28.82,42.33,20039,40.31,30.24,42.33,24013.4
0,36,15.53,55.43,24.59,8297.22,38.3,22.37,34.67,13306.9,39.91,21.57,31.44,12430.2
1,47,12.89,42.73,23.18,4647.94,37.89,24.59,35.88,15934.5,37.09,24.79,35.48,16137.3
0,30,12.3,50.79,27.41,9148.54,37.29,23.78,35.47,14523.8,37.69,21.77,35.88,13408.1
1,46,10.47,44.54,28.62,4592.7,33.46,28.02,31.65,14633.8,34.07,27.21,29.43,13208.03
0,34,13.71,49.58,28.62,8731.78,39.5,18.75,36.88,12083,39.3,16.53,34.67,10254.1
0,30,16.13,54.43,36.28,9193.98,34.47,25.19,37.69,14969.86,40.51,27.82,36.48,14796.9
0,42,11.09,48.58,25.6,4818.75,34.87,23.18,28.43,11044.3,35.89,23.98,29.23,10506
0,30,13.11,55.02,27.61,7189.25,38.5,20.56,33.09,15339.52,38.5,22.17,34.06,14815.6
0,30,10.08,20.22,19.48,4016.12,40.77,28.22,35.27,16831.4,39.51,28.42,35.48,15429.63
0,45,15.12,56.64,25.4,9279.3,33.86,19.95,30.43,12287.04,36.28,20.76,33.46,13503.2
0,46,10.87,53.41,19.15,5527.42,37.89,22.78,36.88,12078.3,36.68,23.58,39.3,13605.3
0,34,11.89,49.18,22.98,5930.69,42.18,25.19,47.97,14964,39.71,23.78,46.56,18079.9
0,32,13.71,67.32,27.81,12209.5,40.31,26,45.35,14748.78,34.67,24.39,44.55,14921.19
1,34,11.09,31.24,19.55,2911.55,38.7,26.61,33.05,13859.7,34.47,25.19,36.28,15207.2
1,32,11.09,42.07,33.06,5038.08,40.1,22.37,27.61,11152.1,33.06,12.28,17.54,10689.7
1,32,10.88,61.67,39.41,7991.66,38.9,23.38,32.45,13728.2,39.1,22.57,30.84,13252
